Municipio,Hoy 17/07,18/07,19/07,20/07,21/07,22/07,23/07
Navas del Rey (Madrid),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Navascués/Nabaskoze (Navarra),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Navasfrías (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Navata (Girona),Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Navatalgordo (Ávila),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Navatejares (Ávila),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Navezuelas (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Navia (Asturias),Muy bajo,Muy bajo,Muy bajo,Moderado,Muy alto,Muy alto,Muy alto
Navia de Suarna (Lugo),Muy bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Navianos de Valverde (Zamora),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Navàs (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Navès (Lleida),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Nazar (Navarra),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Extremo
Nebreda (Burgos),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Neda (A Coruña),Muy bajo,Bajo,Moderado,Muy alto,Extremo,Extremo,Extremo
Negredo (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Negreira (A Coruña),Muy bajo,Bajo,Moderado,Bajo,Moderado,Moderado,Alto
Negrilla de Palencia (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
Negueira de Muñiz (Lugo),Muy bajo,Bajo,Bajo,Moderado,Alto,Muy alto,Muy alto
Neila (Burgos),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Neila de San Miguel (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Nepas (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Nerja (Málaga),Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto,Extremo
Nerpio (Albacete),Extremo,Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Extremo
Nerva (Huelva),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Nestares (La Rioja),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Nevada (Granada),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Niebla (Huelva),Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Nieva (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Nieva de Cameros (La Rioja),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Nigrán (Pontevedra),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Nigüelas (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Nigüella (Zaragoza),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Niharra (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Noalejo (Jaén),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Noblejas (Toledo),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Noceda del Bierzo (León),Bajo,Moderado,Alto,Muy alto,Extremo,Extremo,Extremo
Noez (Toledo),Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo,Extremo
Nogal de las Huertas (Palencia),Moderado,Moderado,Moderado,Muy alto,Extremo,Muy alto,Extremo
Nogales (Badajoz),Moderado,Muy alto,Alto,Moderado,Moderado,Alto,Extremo
Nogueira de Ramuín (Ourense),Muy bajo,Bajo,Moderado,Moderado,Alto,Muy alto,Muy alto
Noguera de Albarracín (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Nogueras (Teruel),Moderado,Moderado,Moderado,Moderado,Muy alto,Alto,Muy alto
Nogueruelas (Teruel),Extremo,Extremo,Muy alto,Muy alto,Muy alto,Moderado,Muy alto
Noia (A Coruña),Muy bajo,Bajo,Moderado,Bajo,Bajo,Moderado,Moderado
Noja (Cantabria),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Nolay (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Nombela (Toledo),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Nombrevilla (Zaragoza),Extremo,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
Nonaspe (Zaragoza),Moderado,Muy alto,Alto,Muy alto,Alto,Alto,Extremo
Noreña (Asturias),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Novales (Huesca),Muy alto,Alto,Alto,Alto,Muy alto,Alto,Extremo
Novallas (Zaragoza),Alto,Alto,Alto,Alto,Extremo,Muy alto,Extremo
Novelda (Alicante),Extremo,Muy alto,Moderado,Alto,Moderado,Moderado,Alto
Novetlè (Valencia),Muy alto,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Noviercas (Soria),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo
Novillas (Zaragoza),Moderado,Moderado,Moderado,Moderado,Muy alto,Alto,Extremo
Novés (Toledo),Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Nueno (Huesca),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Nueva Carteya (Córdoba),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Nueva Villa de las Torres (Valladolid),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Nuevo Baztán (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Nuez de Ebro (Zaragoza),Alto,Bajo,Moderado,Moderado,Alto,Moderado,Extremo
Nules (Castellón),Alto,Alto,Alto,Alto,Muy alto,Alto,Muy alto
Nulles (Tarragona),Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
Numancia de la Sagra (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Nuévalos (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Nuño Gómez (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Nuñomoral (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Nàquera/Náquera (Valencia),Muy alto,Muy bajo,Muy bajo,Muy bajo,Muy alto,Muy bajo,Muy alto
Nájera (La Rioja),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Níjar (Almería),Extremo,Muy alto,Muy alto,Muy alto,Bajo,Moderado,Bajo
Nívar (Granada),Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo
O Barco de Valdeorras (Ourense),Bajo,Moderado,Moderado,Alto,Muy alto,Extremo,Extremo
O Bolo (Ourense),Bajo,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
O Carballiño (Ourense),Bajo,Moderado,Moderado,Moderado,Moderado,Alto,Muy alto
O Corgo (Lugo),Muy bajo,Bajo,Moderado,Alto,Muy alto,Muy alto,Muy alto
O Grove (Pontevedra),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
O Incio (Lugo),Muy bajo,Bajo,Bajo,Moderado,Alto,Muy alto,Muy alto
O Irixo (Ourense),Bajo,Bajo,Bajo,Moderado,Moderado,Alto,Muy alto
O Pereiro de Aguiar (Ourense),Bajo,Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto
O Pino (A Coruña),Muy bajo,Bajo,Moderado,Moderado,Alto,Moderado,Alto
O Porriño (Pontevedra),Bajo,Moderado,Muy bajo,Moderado,Muy bajo,Muy bajo,Alto
O Páramo (Lugo),Muy bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
O Rosal (Pontevedra),Moderado,Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado
O Saviñao (Lugo),Muy bajo,Bajo,Moderado,Moderado,Alto,Alto,Alto
O Valadouro (Lugo),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Moderado,Moderado,Moderado
O Vicedo (Lugo),Muy bajo,Muy bajo,Muy bajo,Moderado,Muy alto,Muy alto,Muy alto
Obanos (Navarra),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Obejo (Córdoba),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Obón (Teruel),Muy alto,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo
Ocaña (Toledo),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Ocentejo (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Ochagavía/Otsagabia (Navarra),Moderado,Moderado,Alto,Muy alto,Extremo,Extremo,Extremo
Ochánduri (La Rioja),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Oco (Navarra),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Ocón (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Odieta (Navarra),Moderado,Alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Odèn (Lleida),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Odón (Teruel),Muy alto,Extremo,Extremo,Extremo,Alto,Extremo,Muy alto
Oencia (León),Muy bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Ogassa (Girona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Ogíjares (Granada),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Ohanes (Almería),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Oia (Pontevedra),Moderado,Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado
Oiartzun (Guipúzcoa),Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Oiz (Navarra),Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Ojacastro (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Ojos Negros (Teruel),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Ojos-Albos (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto
Ojén (Málaga),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Ojós (Murcia),Extremo,Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto
Okondo (Álava),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Olaberria (Guipúzcoa),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Olaibar (Navarra),Moderado,Moderado,Muy alto,Muy alto,Extremo,Extremo,Extremo
Olazti/Olazagutía (Navarra),Alto,Moderado,Alto,Muy alto,Extremo,Extremo,Extremo
Olba (Teruel),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Muy alto
Olea de Boedo (Palencia),Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Oleiros (A Coruña),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Olejua (Navarra),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Olesa de Bonesvalls (Barcelona),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Olesa de Montserrat (Barcelona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Oliana (Lleida),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Oliete (Teruel),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Oliola (Lleida),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Olite/Erriberri (Navarra),Muy alto,Alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Olius (Lleida),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Oliva (Valencia),Bajo,Bajo,Bajo,Bajo,Bajo,Bajo,Moderado
Oliva de Mérida (Badajoz),Alto,Muy alto,Muy alto,Alto,Moderado,Muy alto,Extremo
Oliva de Plasencia (Cáceres),Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Oliva de la Frontera (Badajoz),Moderado,Alto,Alto,Alto,Alto,Muy alto,Extremo
Olivares (Sevilla),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Olivares de Duero (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Olivares de Júcar (Cuenca),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Olivella (Barcelona),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Olivenza (Badajoz),Moderado,Alto,Moderado,Alto,Moderado,Muy alto,Extremo
Ollauri (La Rioja),Moderado,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Olmeda de Cobeta (Guadalajara),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Olmeda de la Cuesta (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Olmeda de las Fuentes (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Olmeda del Rey (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Olmedilla de Alarcón (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Olmedilla de Eliz (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Olmedillo de Roa (Burgos),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Olmedo (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Olmedo de Camaces (Salamanca),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Olmillos de Castro (Zamora),Alto,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Olmillos de Muñó (Burgos),Alto,Muy alto,Moderado,Muy alto,Extremo,Muy alto,Extremo
Olmos de Esgueva (Valladolid),Alto,Alto,Alto,Muy alto,Alto,Extremo,Muy alto
Olmos de Ojeda (Palencia),Bajo,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Olmos de Peñafiel (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Olocau (Valencia),Muy alto,Muy alto,Alto,Muy alto,Muy alto,Alto,Muy alto
Olocau del Rey (Castellón),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Alto,Extremo
Olombrada (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Olost (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Olot (Girona),Extremo,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Olula de Castro (Almería),Muy alto,Muy alto,Muy alto,Extremo,Alto,Muy alto,Extremo
Olula del Río (Almería),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Olvan (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Olvena (Huesca),Extremo,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Olvera (Cádiz),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Olvés (Zaragoza),Muy alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Olèrdola (Barcelona),Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo
Olías del Rey (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Olóriz/Oloritz (Navarra),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Oncala (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Onda (Castellón),Muy alto,Muy alto,Alto,Muy alto,Muy alto,Alto,Muy alto
Ondara (Alicante),Moderado,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Moderado
Ondarroa (Vizcaya),Muy alto,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Onil (Alicante),Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Muy alto
Ontinyent (Valencia),Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado,Alto
Ontiñena (Huesca),Muy alto,Moderado,Moderado,Alto,Alto,Muy alto,Muy alto
Ontur (Albacete),Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Ontígola (Toledo),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Onzonilla (León),Muy bajo,Bajo,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Onís (Asturias),Muy bajo,Muy bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto
Oquillas (Burgos),Muy alto,Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo
Orba (Alicante),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Orbaizeta (Navarra),Muy bajo,Bajo,Alto,Muy alto,Extremo,Extremo,Extremo
Orbaneja Riopico (Burgos),Moderado,Alto,Moderado,Alto,Muy alto,Muy alto,Muy alto
Orbara (Navarra),Bajo,Moderado,Alto,Muy alto,Extremo,Extremo,Extremo
Orbita (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Orcajo (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Orce (Granada),Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo
Orcera (Jaén),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Ordes (A Coruña),Muy bajo,Bajo,Moderado,Alto,Muy alto,Alto,Muy alto
Ordis (Girona),Moderado,Moderado,Alto,Alto,Muy alto,Alto,Muy alto
Ordizia (Guipúzcoa),Moderado,Moderado,Moderado,Extremo,Extremo,Extremo,Extremo
Orea (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Orejana (Segovia),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Orellana de la Sierra (Badajoz),Muy alto,Muy alto,Muy alto,Alto,Alto,Muy alto,Extremo
Orellana la Vieja (Badajoz),Muy alto,Muy alto,Muy alto,Alto,Alto,Muy alto,Extremo
Orendain (Guipúzcoa),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Orera (Zaragoza),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Orexa (Guipúzcoa),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Organyà (Lleida),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Orgaz (Toledo),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Oria (Almería),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Orihuela (Alicante),Extremo,Moderado,Muy alto,Alto,Moderado,Moderado,Moderado
Orihuela del Tremedal (Teruel),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Orio (Guipúzcoa),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Oristà (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Orkoien (Navarra),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Ormaiztegi (Guipúzcoa),Moderado,Moderado,Moderado,Extremo,Extremo,Extremo,Extremo
Oronz/Orontze (Navarra),Moderado,Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Oropesa (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Oroso (A Coruña),Muy bajo,Bajo,Moderado,Moderado,Alto,Moderado,Muy alto
Oroz-Betelu/Orotz-Betelu (Navarra),Moderado,Moderado,Muy alto,Muy alto,Extremo,Extremo,Extremo
Orozko (Vizcaya),Moderado,Bajo,Moderado,Muy alto,Extremo,Extremo,Extremo
Orpesa/Oropesa del Mar (Castellón),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy bajo,Muy alto
Orpí (Barcelona),Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo
Orreaga/Roncesvalles (Navarra),Muy bajo,Moderado,Alto,Muy alto,Extremo,Extremo,Extremo
Orrios (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Ortigosa de Cameros (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Ortigosa de Pestaño (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Ortigosa del Monte (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Ortigueira (A Coruña),Muy bajo,Muy bajo,Muy bajo,Moderado,Muy alto,Muy alto,Muy alto
Ortuella (Vizcaya),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Orusco de Tajuña (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Orxeta (Alicante),Alto,Muy alto,Alto,Moderado,Alto,Moderado,Moderado
Orés (Zaragoza),Muy alto,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Extremo
Orís (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Orísoain (Navarra),Moderado,Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Os Blancos (Ourense),Bajo,Moderado,Bajo,Moderado,Muy alto,Alto,Muy alto
Os de Balaguer (Lleida),Extremo,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Osa de la Vega (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Oseja (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Oseja de Sajambre (León),Muy bajo,Bajo,Bajo,Bajo,Moderado,Moderado,Alto
Osera de Ebro (Zaragoza),Muy alto,Moderado,Moderado,Moderado,Alto,Moderado,Extremo
Osor (Girona),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Osornillo (Palencia),Alto,Muy alto,Alto,Muy alto,Extremo,Muy alto,Extremo
Osorno la Mayor (Palencia),Moderado,Muy alto,Alto,Muy alto,Extremo,Muy alto,Extremo
Ossa de Montiel (Albacete),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Osso de Cinca (Huesca),Moderado,Muy alto,Alto,Muy alto,Alto,Muy alto,Muy alto
Ossó de Sió (Lleida),Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo
Osuna (Sevilla),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Oteiza (Navarra),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Otero (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Otero de Bodas (Zamora),Moderado,Moderado,Moderado,Moderado,Muy alto,Alto,Alto
Otero de Herreros (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Otos (Valencia),Moderado,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Otxandio (Vizcaya),Alto,Moderado,Alto,Extremo,Extremo,Extremo,Extremo
Otívar (Granada),Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto,Extremo
Ourense (Ourense),Muy bajo,Bajo,Moderado,Moderado,Alto,Muy alto,Muy alto
Ourol (Lugo),Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Alto,Alto
Outeiro de Rei (Lugo),Muy bajo,Bajo,Bajo,Muy alto,Muy alto,Alto,Muy alto
Outes (A Coruña),Muy bajo,Bajo,Moderado,Bajo,Bajo,Moderado,Moderado
Oviedo (Asturias),Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Alto,Muy alto
Oyón-Oion (Álava),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Oza-Cesuras (A Coruña),Bajo,Bajo,Moderado,Muy alto,Extremo,Muy alto,Muy alto
Oímbra (Ourense),Moderado,Moderado,Moderado,Muy alto,Extremo,Muy alto,Muy alto
Oña (Burgos),Bajo,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Oñati (Guipúzcoa),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Pacs del Penedès (Barcelona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Paderne (A Coruña),Bajo,Bajo,Moderado,Muy alto,Extremo,Muy alto,Muy alto
Paderne de Allariz (Ourense),Bajo,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Padiernos (Ávila),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Padilla de Abajo (Burgos),Alto,Muy alto,Alto,Muy alto,Extremo,Muy alto,Extremo
Padilla de Arriba (Burgos),Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Padrenda (Ourense),Bajo,Bajo,Bajo,Bajo,Moderado,Moderado,Alto
Padrones de Bureba (Burgos),Bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Padrón (A Coruña),Bajo,Moderado,Moderado,Bajo,Moderado,Alto,Alto
Padul (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Padules (Almería),Extremo,Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Extremo
Paiporta (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Pajarejos (Segovia),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Pajares de Adaja (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Pajares de la Laguna (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Pajares de la Lampreana (Zamora),Alto,Moderado,Moderado,Moderado,Alto,Muy alto,Alto
Pajares de los Oteros (León),Bajo,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Pajaroncillo (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Pajarón (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Palacios de Goda (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Palacios de Riopisuerga (Burgos),Alto,Muy alto,Alto,Muy alto,Extremo,Muy alto,Extremo
Palacios de Sanabria (Zamora),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Palacios de la Sierra (Burgos),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
